family,status,readback,setpoint,device1,device2,element,pos
HCM,1,SR10A-PC-HSTR-04:I,SR10A-PC-HSTR-04:SETI,10,4,69,2.228200e+02
HCM,1,SR10A-PC-HSTR-05:I,SR10A-PC-HSTR-05:SETI,10,5,70,2.238575e+02
HCM,1,SR10A-PC-HSTR-06:I,SR10A-PC-HSTR-06:SETI,10,6,71,2.271735e+02
HCM,1,SR10A-PC-HSTR-07:I,SR10A-PC-HSTR-07:SETI,10,7,72,2.292735e+02
HCM,1,SR11A-PC-HSTR-01:I,SR11A-PC-HSTR-01:SETI,11,1,73,2.390165e+02
HCM,1,SR11A-PC-HSTR-02:I,SR11A-PC-HSTR-02:SETI,11,2,74,2.411165e+02
HCM,1,SR11A-PC-HSTR-03:I,SR11A-PC-HSTR-03:SETI,11,3,75,2.443325e+02
HCM,1,SR11A-PC-HSTR-04:I,SR11A-PC-HSTR-04:SETI,11,4,76,2.454700e+02
HCM,1,SR11A-PC-HSTR-05:I,SR11A-PC-HSTR-05:SETI,11,5,77,2.465075e+02
HCM,1,SR11A-PC-HSTR-06:I,SR11A-PC-HSTR-06:SETI,11,6,78,2.498235e+02
HCM,1,SR11A-PC-HSTR-07:I,SR11A-PC-HSTR-07:SETI,11,7,79,2.519235e+02
HCM,1,SR12A-PC-HSTR-01:I,SR12A-PC-HSTR-01:SETI,12,1,80,2.616665e+02
HCM,1,SR12A-PC-HSTR-02:I,SR12A-PC-HSTR-02:SETI,12,2,81,2.637665e+02
HCM,1,SR12A-PC-HSTR-03:I,SR12A-PC-HSTR-03:SETI,12,3,82,2.669825e+02
HCM,1,SR12A-PC-HSTR-04:I,SR12A-PC-HSTR-04:SETI,12,4,83,2.681200e+02
HCM,1,SR12A-PC-HSTR-05:I,SR12A-PC-HSTR-05:SETI,12,5,84,2.691575e+02
HCM,1,SR12A-PC-HSTR-06:I,SR12A-PC-HSTR-06:SETI,12,6,85,2.724735e+02
HCM,1,SR12A-PC-HSTR-07:I,SR12A-PC-HSTR-07:SETI,12,7,86,2.745735e+02
HCM,1,SR13S-PC-HSTR-01:I,SR13S-PC-HSTR-01:SETI,1.350000e+01,1,87,2.795492e+02
HCM,1,SR13S-PC-HSTR-02:I,SR13S-PC-HSTR-02:SETI,1.350000e+01,2,88,2.819736e+02
HCM,1,SR13A-PC-HSTR-01:I,SR13A-PC-HSTR-01:SETI,13,1,89,2.873165e+02
HCM,1,SR13A-PC-HSTR-02:I,SR13A-PC-HSTR-02:SETI,13,2,90,2.894165e+02
HCM,1,SR13A-PC-HSTR-03:I,SR13A-PC-HSTR-03:SETI,13,3,91,2.926325e+02
HCM,1,SR13A-PC-HSTR-04:I,SR13A-PC-HSTR-04:SETI,13,4,92,2.937700e+02
HCM,1,SR13A-PC-HSTR-05:I,SR13A-PC-HSTR-05:SETI,13,5,93,2.948075e+02
HCM,1,SR13A-PC-HSTR-06:I,SR13A-PC-HSTR-06:SETI,13,6,94,2.981235e+02
HCM,1,SR13A-PC-HSTR-07:I,SR13A-PC-HSTR-07:SETI,13,7,95,3.002235e+02
HCM,1,SR14A-PC-HSTR-01:I,SR14A-PC-HSTR-01:SETI,14,1,96,3.099665e+02
HCM,1,SR14A-PC-HSTR-02:I,SR14A-PC-HSTR-02:SETI,14,2,97,3.120665e+02
HCM,1,SR14A-PC-HSTR-03:I,SR14A-PC-HSTR-03:SETI,14,3,98,3.152825e+02
HCM,1,SR14A-PC-HSTR-04:I,SR14A-PC-HSTR-04:SETI,14,4,99,3.164200e+02
HCM,1,SR14A-PC-HSTR-05:I,SR14A-PC-HSTR-05:SETI,14,5,100,3.174575e+02
HCM,1,SR14A-PC-HSTR-06:I,SR14A-PC-HSTR-06:SETI,14,6,101,3.207735e+02
HCM,1,SR14A-PC-HSTR-07:I,SR14A-PC-HSTR-07:SETI,14,7,102,3.228735e+02
HCM,1,SR15A-PC-HSTR-01:I,SR15A-PC-HSTR-01:SETI,15,1,103,3.326165e+02
HCM,1,SR15A-PC-HSTR-02:I,SR15A-PC-HSTR-02:SETI,15,2,104,3.347165e+02
HCM,1,SR15A-PC-HSTR-03:I,SR15A-PC-HSTR-03:SETI,15,3,105,3.379325e+02
HCM,1,SR15A-PC-HSTR-04:I,SR15A-PC-HSTR-04:SETI,15,4,106,3.390700e+02
HCM,1,SR15A-PC-HSTR-05:I,SR15A-PC-HSTR-05:SETI,15,5,107,3.401075e+02
HCM,1,SR15A-PC-HSTR-06:I,SR15A-PC-HSTR-06:SETI,15,6,108,3.434235e+02
HCM,1,SR15A-PC-HSTR-07:I,SR15A-PC-HSTR-07:SETI,15,7,109,3.455235e+02
HCM,1,SR16A-PC-HSTR-01:I,SR16A-PC-HSTR-01:SETI,16,1,110,3.552665e+02
HCM,1,SR16A-PC-HSTR-02:I,SR16A-PC-HSTR-02:SETI,16,2,111,3.573665e+02
HCM,1,SR16A-PC-HSTR-03:I,SR16A-PC-HSTR-03:SETI,16,3,112,3.605825e+02
HCM,1,SR16A-PC-HSTR-04:I,SR16A-PC-HSTR-04:SETI,16,4,113,3.617200e+02
HCM,1,SR16A-PC-HSTR-05:I,SR16A-PC-HSTR-05:SETI,16,5,114,3.627575e+02
HCM,1,SR16A-PC-HSTR-06:I,SR16A-PC-HSTR-06:SETI,16,6,115,3.660735e+02
HCM,1,SR16A-PC-HSTR-07:I,SR16A-PC-HSTR-07:SETI,16,7,116,3.681735e+02
HCM,1,SR17A-PC-HSTR-01:I,SR17A-PC-HSTR-01:SETI,17,1,117,3.809165e+02
HCM,1,SR17A-PC-HSTR-02:I,SR17A-PC-HSTR-02:SETI,17,2,118,3.830165e+02
HCM,1,SR17A-PC-HSTR-03:I,SR17A-PC-HSTR-03:SETI,17,3,119,3.862325e+02
HCM,1,SR17A-PC-HSTR-04:I,SR17A-PC-HSTR-04:SETI,17,4,120,3.873700e+02
HCM,1,SR17A-PC-HSTR-05:I,SR17A-PC-HSTR-05:SETI,17,5,121,3.884075e+02
HCM,1,SR17A-PC-HSTR-06:I,SR17A-PC-HSTR-06:SETI,17,6,122,3.917235e+02
HCM,1,SR17A-PC-HSTR-07:I,SR17A-PC-HSTR-07:SETI,17,7,123,3.938235e+02
HCM,1,SR18A-PC-HSTR-01:I,SR18A-PC-HSTR-01:SETI,18,1,124,4.035665e+02
HCM,1,SR18A-PC-HSTR-02:I,SR18A-PC-HSTR-02:SETI,18,2,125,4.056665e+02
HCM,1,SR18A-PC-HSTR-03:I,SR18A-PC-HSTR-03:SETI,18,3,126,4.088825e+02
HCM,1,SR18A-PC-HSTR-04:I,SR18A-PC-HSTR-04:SETI,18,4,127,4.100200e+02
HCM,1,SR18A-PC-HSTR-05:I,SR18A-PC-HSTR-05:SETI,18,5,128,4.110575e+02
HCM,1,SR18A-PC-HSTR-06:I,SR18A-PC-HSTR-06:SETI,18,6,129,4.143735e+02
HCM,1,SR18A-PC-HSTR-07:I,SR18A-PC-HSTR-07:SETI,18,7,130,4.164735e+02
HCM,1,SR19A-PC-HSTR-01:I,SR19A-PC-HSTR-01:SETI,19,1,131,4.262165e+02
HCM,1,SR19A-PC-HSTR-02:I,SR19A-PC-HSTR-02:SETI,19,2,132,4.283165e+02
HCM,1,SR19A-PC-HSTR-03:I,SR19A-PC-HSTR-03:SETI,19,3,133,4.315325e+02
HCM,1,SR19A-PC-HSTR-04:I,SR19A-PC-HSTR-04:SETI,19,4,134,4.326700e+02
HCM,1,SR19A-PC-HSTR-05:I,SR19A-PC-HSTR-05:SETI,19,5,135,4.337075e+02
HCM,1,SR19A-PC-HSTR-06:I,SR19A-PC-HSTR-06:SETI,19,6,136,4.370235e+02
HCM,1,SR19A-PC-HSTR-07:I,SR19A-PC-HSTR-07:SETI,19,7,137,4.391235e+02
HCM,1,SR20A-PC-HSTR-01:I,SR20A-PC-HSTR-01:SETI,20,1,138,4.488665e+02
HCM,1,SR20A-PC-HSTR-02:I,SR20A-PC-HSTR-02:SETI,20,2,139,4.509665e+02
HCM,1,SR20A-PC-HSTR-03:I,SR20A-PC-HSTR-03:SETI,20,3,140,4.541825e+02
HCM,1,SR20A-PC-HSTR-04:I,SR20A-PC-HSTR-04:SETI,20,4,141,4.553200e+02
HCM,1,SR20A-PC-HSTR-05:I,SR20A-PC-HSTR-05:SETI,20,5,142,4.563575e+02
HCM,1,SR20A-PC-HSTR-06:I,SR20A-PC-HSTR-06:SETI,20,6,143,4.596735e+02
HCM,1,SR20A-PC-HSTR-07:I,SR20A-PC-HSTR-07:SETI,20,7,144,4.617735e+02
HCM,1,SR21A-PC-HSTR-01:I,SR21A-PC-HSTR-01:SETI,21,1,145,4.745165e+02
HCM,1,SR21A-PC-HSTR-02:I,SR21A-PC-HSTR-02:SETI,21,2,146,4.766165e+02
HCM,1,SR21A-PC-HSTR-03:I,SR21A-PC-HSTR-03:SETI,21,3,147,4.798325e+02
HCM,1,SR21A-PC-HSTR-04:I,SR21A-PC-HSTR-04:SETI,21,4,148,4.809700e+02
HCM,1,SR21A-PC-HSTR-05:I,SR21A-PC-HSTR-05:SETI,21,5,149,4.820075e+02
HCM,1,SR21A-PC-HSTR-06:I,SR21A-PC-HSTR-06:SETI,21,6,150,4.853235e+02
HCM,1,SR21A-PC-HSTR-07:I,SR21A-PC-HSTR-07:SETI,21,7,151,4.874235e+02
HCM,1,SR22A-PC-HSTR-01:I,SR22A-PC-HSTR-01:SETI,22,1,152,4.971665e+02
HCM,1,SR22A-PC-HSTR-02:I,SR22A-PC-HSTR-02:SETI,22,2,153,4.992665e+02
HCM,1,SR22A-PC-HSTR-03:I,SR22A-PC-HSTR-03:SETI,22,3,154,5.024825e+02
HCM,1,SR22A-PC-HSTR-04:I,SR22A-PC-HSTR-04:SETI,22,4,155,5.036200e+02
HCM,1,SR22A-PC-HSTR-05:I,SR22A-PC-HSTR-05:SETI,22,5,156,5.046575e+02
HCM,1,SR22A-PC-HSTR-06:I,SR22A-PC-HSTR-06:SETI,22,6,157,5.079735e+02
HCM,1,SR22A-PC-HSTR-07:I,SR22A-PC-HSTR-07:SETI,22,7,158,5.100735e+02
HCM,1,SR23A-PC-HSTR-01:I,SR23A-PC-HSTR-01:SETI,23,1,159,5.198165e+02
HCM,1,SR23A-PC-HSTR-02:I,SR23A-PC-HSTR-02:SETI,23,2,160,5.219165e+02
HCM,1,SR23A-PC-HSTR-03:I,SR23A-PC-HSTR-03:SETI,23,3,161,5.251325e+02
HCM,1,SR23A-PC-HSTR-04:I,SR23A-PC-HSTR-04:SETI,23,4,162,5.262700e+02
HCM,1,SR23A-PC-HSTR-05:I,SR23A-PC-HSTR-05:SETI,23,5,163,5.273075e+02
HCM,1,SR23A-PC-HSTR-06:I,SR23A-PC-HSTR-06:SETI,23,6,164,5.306235e+02
HCM,1,SR23A-PC-HSTR-07:I,SR23A-PC-HSTR-07:SETI,23,7,165,5.327235e+02
HCM,1,SR24A-PC-HSTR-01:I,SR24A-PC-HSTR-01:SETI,24,1,166,5.424665e+02
